symbol,open,high,low,close,volume,timestamp
GOOG,196.94,196.95,196.74,196.95,13,2025-01-28T19:58:00.000000Z
GOOG,196.7401,196.86,196.7401,196.86,3,2025-01-28T19:57:00.000000Z
GOOG,196.9448,196.9448,196.845,196.85,111,2025-01-28T19:56:00.000000Z
GOOG,196.7452,196.94,196.7452,196.94,5,2025-01-28T19:55:00.000000Z
GOOG,196.94,196.94,196.85,196.85,15,2025-01-28T19:54:00.000000Z
GOOG,196.74,196.84,196.74,196.74,22,2025-01-28T19:53:00.000000Z
GOOG,196.87,196.95,196.845,196.845,131,2025-01-28T19:52:00.000000Z
GOOG,196.74,196.87,196.74,196.845,210,2025-01-28T19:51:00.000000Z
GOOG,196.705,196.705,196.705,196.705,1,2025-01-28T19:50:00.000000Z
GOOG,196.705,196.8,196.65,196.8,385,2025-01-28T19:49:00.000000Z
GOOG,196.76,196.78,196.75,196.75,9,2025-01-28T19:48:00.000000Z
GOOG,196.66,196.76,196.66,196.76,22,2025-01-28T19:47:00.000000Z
GOOG,196.68,196.68,196.68,196.68,1,2025-01-28T19:46:00.000000Z
GOOG,196.65,196.65,196.6,196.6,7,2025-01-28T19:44:00.000000Z
GOOG,196.75,196.75,196.75,196.75,2,2025-01-28T19:43:00.000000Z
GOOG,196.795,196.795,196.7,196.79,16,2025-01-28T19:42:00.000000Z
GOOG,196.65,196.8,196.65,196.8,141,2025-01-28T19:41:00.000000Z
GOOG,196.65,196.65,196.6,196.6,11,2025-01-28T19:40:00.000000Z
GOOG,196.79,196.79,196.77,196.79,11,2025-01-28T19:39:00.000000Z
GOOG,196.605,196.605,196.605,196.605,1,2025-01-28T19:38:00.000000Z
GOOG,196.7,196.7,196.7,196.7,2,2025-01-28T19:37:00.000000Z
GOOG,196.7,196.75,196.7,196.7,37,2025-01-28T19:36:00.000000Z
GOOG,196.7,196.7,196.7,196.7,45,2025-01-28T19:35:00.000000Z
GOOG,196.62,196.83,196.62,196.795,137,2025-01-28T19:34:00.000000Z
GOOG,196.83,196.83,196.83,196.83,2,2025-01-28T19:31:00.000000Z
GOOG,196.96,196.96,196.96,196.96,1,2025-01-28T19:30:00.000000Z
GOOG,196.83,196.83,196.83,196.83,100,2025-01-28T19:27:00.000000Z
GOOG,196.815,196.815,196.7462,196.7462,2,2025-01-28T19:26:00.000000Z
GOOG,196.67,196.68,196.67,196.68,121,2025-01-28T19:25:00.000000Z
GOOG,196.67,196.67,196.655,196.6699,134,2025-01-28T19:24:00.000000Z
GOOG,196.66,196.66,196.66,196.66,42,2025-01-28T19:23:00.000000Z
GOOG,196.66,196.66,196.6599,196.6599,7,2025-01-28T19:22:00.000000Z
GOOG,196.655,196.66,196.64,196.66,209,2025-01-28T19:21:00.000000Z
GOOG,196.64,196.64,196.64,196.64,40,2025-01-28T19:20:00.000000Z
GOOG,196.6775,196.6775,196.6775,196.6775,1,2025-01-28T19:19:00.000000Z
GOOG,196.79,196.79,196.75,196.785,7,2025-01-28T19:18:00.000000Z
GOOG,196.8,197.0,196.58,196.75,98,2025-01-28T19:17:00.000000Z
GOOG,196.8,197.0,196.8,197.0,16,2025-01-28T19:16:00.000000Z
GOOG,196.79,196.79,196.58,196.58,3,2025-01-28T19:15:00.000000Z
GOOG,196.8,196.98,196.58,196.65,104,2025-01-28T19:14:00.000000Z
GOOG,196.79,196.79,196.79,196.79,1,2025-01-28T19:13:00.000000Z
GOOG,196.81,197.0,196.81,197.0,51,2025-01-28T19:12:00.000000Z
GOOG,196.8,196.82,196.63,196.63,87,2025-01-28T19:11:00.000000Z
GOOG,196.8,196.94,196.8,196.94,7,2025-01-28T19:10:00.000000Z
GOOG,196.94,196.94,196.94,196.94,10,2025-01-28T19:08:00.000000Z
GOOG,196.79,196.79,196.79,196.79,2,2025-01-28T19:07:00.000000Z
GOOG,196.68,196.83,196.68,196.83,82,2025-01-28T19:06:00.000000Z
GOOG,196.77,197.0,196.55,196.55,88,2025-01-28T19:05:00.000000Z
GOOG,196.75,196.75,196.62,196.62,20,2025-01-28T19:04:00.000000Z
GOOG,196.77,196.77,196.55,196.55,176,2025-01-28T19:02:00.000000Z
GOOG,196.56,196.56,196.55,196.55,145,2025-01-28T19:00:00.000000Z
GOOG,196.75,196.75,196.56,196.56,99,2025-01-28T18:59:00.000000Z
GOOG,196.68,196.74,196.68,196.74,437,2025-01-28T18:58:00.000000Z
GOOG,196.81,196.81,196.81,196.81,25,2025-01-28T18:56:00.000000Z
GOOG,196.74,196.87,196.74,196.805,377,2025-01-28T18:55:00.000000Z
GOOG,196.72,196.74,196.72,196.74,16,2025-01-28T18:54:00.000000Z
GOOG,196.74,196.76,196.61,196.73,136,2025-01-28T18:53:00.000000Z
GOOG,196.61,196.61,196.61,196.61,3,2025-01-28T18:52:00.000000Z
GOOG,196.74,196.74,196.74,196.74,16,2025-01-28T18:51:00.000000Z
GOOG,196.74,196.76,196.74,196.76,9,2025-01-28T18:50:00.000000Z
GOOG,196.59,196.6,196.59,196.6,138,2025-01-28T18:49:00.000000Z
GOOG,196.91,196.91,196.91,196.91,1,2025-01-28T18:48:00.000000Z
GOOG,196.725,196.9008,196.72,196.9008,19,2025-01-28T18:47:00.000000Z
GOOG,196.73,196.91,196.73,196.8,70,2025-01-28T18:46:00.000000Z
GOOG,196.725,196.725,196.72,196.72,7,2025-01-28T18:45:00.000000Z
GOOG,196.725,196.73,196.725,196.73,11,2025-01-28T18:44:00.000000Z
GOOG,196.8,196.8,196.8,196.8,10,2025-01-28T18:43:00.000000Z
GOOG,196.56,196.725,196.54,196.725,115,2025-01-28T18:42:00.000000Z
GOOG,196.59,196.59,196.59,196.59,92,2025-01-28T18:41:00.000000Z
GOOG,196.5,196.54,196.5,196.54,226,2025-01-28T18:40:00.000000Z
GOOG,197.0,197.0,197.0,197.0,201,2025-01-28T18:39:00.000000Z
GOOG,196.54,196.78,196.51,196.51,334,2025-01-28T18:38:00.000000Z
GOOG,196.8513,196.8513,196.54,196.54,853,2025-01-28T18:37:00.000000Z
GOOG,196.95,196.97,196.95,196.97,139,2025-01-28T18:36:00.000000Z
GOOG,196.95,196.95,196.85,196.925,105,2025-01-28T18:35:00.000000Z
GOOG,196.925,196.98,196.9,196.98,24,2025-01-28T18:34:00.000000Z
GOOG,196.8504,197.0,196.8504,196.925,7,2025-01-28T18:33:00.000000Z
GOOG,196.86,196.86,196.86,196.86,9,2025-01-28T18:32:00.000000Z
GOOG,196.75,196.9996,196.75,196.875,52,2025-01-28T18:29:00.000000Z
GOOG,196.97,196.97,196.6012,196.6012,4,2025-01-28T18:28:00.000000Z
GOOG,196.91,197.0,196.91,197.0,332,2025-01-28T18:27:00.000000Z
GOOG,196.93,196.93,196.93,196.93,3,2025-01-28T18:26:00.000000Z
GOOG,196.95,196.95,196.8,196.8,3,2025-01-28T18:25:00.000000Z
GOOG,197.0,197.0,196.8,196.8,164,2025-01-28T18:24:00.000000Z
GOOG,197.0,197.0,196.9,196.9,2,2025-01-28T18:23:00.000000Z
GOOG,196.805,196.99,196.805,196.95,4,2025-01-28T18:22:00.000000Z
GOOG,196.99,196.99,196.99,196.99,1,2025-01-28T18:21:00.000000Z
GOOG,196.8,197.0,196.8,197.0,298,2025-01-28T18:20:00.000000Z
GOOG,196.7,196.8,196.6267,196.6267,353,2025-01-28T18:19:00.000000Z
GOOG,196.69,196.7,196.54,196.54,214,2025-01-28T18:18:00.000000Z
GOOG,196.68,196.71,196.5447,196.5447,333,2025-01-28T18:17:00.000000Z
